rid,fear
x030-sf-1,"הקונטקסט היה- המנקה הגיעה לנקות אצלהם והזיזה לה את כל הדברים מהמדפים- ניקתה אותם גם עם מים והשאירה אותם בדלי. ממש היה לה קשה עם זה שהזיזו לה מהמקום. 
הקומפולסיה- הרגישה שהיא צריכה להתרחק ולא לראות את זה, לא לדבר על זה, ממש להדחיק. כל פעם שמישהו דיבר על זה שוב זה רק עיצבן אותה עוד יותר. במקרה כזה היא רואה סרטון- של זמר שהיא מאוד אוהבת ובכמה חודשים האחרונים היא פשוט רואה ראיונות איתו, קטעים מהופעות, ואז היא אוהבת לחזור על אותם 10 שניות שהיא אוהבת- נגיד עם הוא שר יפה, שוב ושוב. 
המחשבה הראשונה בראש מול מה שהמנקה עשתה זה- כעס, תחושה של איבוד שליטה, בעיקר תסכול על זה שזה קרה והמצב הוא לא כמו שהיה כשהיא עזבה את החדר"
x030-cf-1,נשמע כמו NJRE. מפחיד אותה שדברים לא יהיו כמו שהם היו. לכן אם מזיזים לה דברים מהמקום היא הופכת מתוסכלת וחייבת להמנע ולהרגע- דרך חזרה על 10 דקות מהסרטונים שוב ושוב.
x026-sf-1,"בתקופת הקורונה עם הזום היא העבירה את הבידוד עם סבתא, כאשר יום שני פחות עמוס לה בחינה לימודית. לכן היא לומדת בו יותר לבד עצמאית, וזה יום שהיה הכי פחות פרודוקטיבי שלה עם חרדות כי היא לא מנצלת את הזמן. הפיזור מקשה עליה להתמקד והיא מרגישה כישלון ולכן היא עושה המון רשימות משימות, שיבוץ תאריכים, סדר יום לכל השבוע, ויש פיצול למשימות שונות שהיא צריכה לעשות. ועל זה היא עושה רשימה שמתעדפת את המשימות.
אם הי לא עושה את המשימות היא חושבת על כישלון"
x026-sf-2,"היא רבה עם שותפה של על ענייני דירה והיא לא רצתה להמשיך לעסוק בסיטואציה עצמה ולכן התקשרה לחברה שעזרה לה להתנער מהתחושות. 
אם היא לא מתקשרת לחברה אז היא מרגישה נורא כי ייקח לה המון זמן לצאת מהמחשבות על כך"
x026-cf-1,"עושה את הרשימות כי הן עוזרות לה להתקדם ולהגיע למטרה שהיא שואפת אליה, לחיים עם משמעות"
x026-cf-2,מפחדת להיכנס ללופ של המחשבות כי אז זה יהרוס את סדר היום והיא לא תעמוד במשימות שלה
x031-sf-1,"הנושא של להיחשף לסכנה- התרופות עוזרות אבל זה מאוד מרכזי. זה שהיא אמא הופך את זה לנורמלי אבל זה היה גם לפני. בכל מקרה היא שואלת- האם היא יכולה לעשות את זה, משווה למקרים אחרים, מעניין אותה הסתברויות והשוואה בין סיטואציות. המשמעות של מטען תרבותי וערכים אישיים- כמה זה צריך להשפיע. 
סיטואציה שקרתה- בקורונה (זה לא החמיר אצלה) ללכת עם הילדה לטיפת חלב וחיסונים. היא הלכה בסוף אבל זה ממש העסיק אותה גם בסגר המוחלט. המחשבה הראשונה:"" יכול להיות שהיא עושה דבר נורא וזה יפגע אבל גם אם היא לא תעשה זה יפגע, בכל אחת מהאפשרויות יש סיכון מאוד גדול."
x031-cf-1,"טריגר- לעשות בחירה שקשורה לפעולה כלשהי שעלולה להיות לה השלכות אם עושים/ לא עושים אותה. בכל אופן יש סיכון- כמו לנסוע לעשות חיסונים.
תגובה- לוקח לה הרבה זמן לעשות את זה, התרופות עושות, אבל היא חייבת לדעת את כל הסטטיסטיקות. כובד אחריות.
פרשנות- פחד מהגורל ומלבחור את הדבר הלא נכון."
x050-sf-1,"סדר וארגון זה היום- יום שלה, אם הארונות לא סגורים אם החדר לא מסודר. אם הארון לא סגור, המחשבה הראשונה בראש זה"" זה יפריע לי עד אני אעשה משהו."" חייבת לסגור את הארון."
x050-cf-1,"טריגר- שמשהו לא מסודר, אפילו משהו קטן, כמו אוזן חמור בספר.
תגובה- לסדר מיד, כמעט תמיד.
פרשנות- הפחד מלפשל במשהו, הכל חייב להיות מדויק."
z001-sf-1,"אני נגעלת מאד ממטוסים, ושי לי אוסף שלם של טקסים שנועדו למנוע זיהום. אני מביאה שמיכה מהבית, מנקה הכל עם אלכוג'ל, לא אוכלת מהאוכל של המטוס ועוד."
z001-sf-2,"כשאני מבקרת משפחה בחו""ל, אני מרגישה לא קשורה - אאוטסיידרית, לא בתחום הנוחות. מה שמוביל למחשבות אובססיביות על אכילה ומשקל."
z001-cf-1,"אני נגעלת מאד ממטוסים, אם לא אבצע את הטקסים שלי אני אזדהם ואגעיל את עצמי עד כדי כך שאשנא את עצמי ואכנס לשרשרת אינסופית של ביקורת עצמית."
z001-cf-2,"כשאני מבקרת משפחה בחו""ל, אני מרגישה לא קשורה - אאוטסיידרית, לא בתחום הנוחות. אם לא אחשוב על אוכל ועל איך לנהל אותו אני אעבור לחשוב על כמה אני מסכנה ולא טוב לי ואכנס למעגל אינסופי של מסכנות."
z004-sf-1,"בסעודת שבת, אם אני אקח מספר אנטיפסטי לא זוגי יהיה לי לא נעים. כמו מין קווץ' כזה בלב. זה כזה לא בסדר."
z004-cf-1,"בסעודת שבת, אם אקח אנטיפסטי לא זוגי, ולא אוכל בשום פנים להשלים לזוגי, אני ארגיש בעסה."
z007-sf-1,אני נמצאת בסופר. חם לי מאד. אני מרגישה שאני רוצה להתקלח. אבל אני לא מתקלחת. אני נהיית עצבנית. אני לא מצליחה לגעת בדברים מסויימים. אני רוצה להתקלח כדי להתנקות.
z007-sf-2,"אני נמצאת במיטה ומתחילה לחשוב מחשבות על מישהו קרוב אלי שימות, אני בוכה. אני רוצה לנטרל את המחשבה הזאת ולהגיד לעצמי ""לא חשבתי את זה, אני לא חושבת את זה, אני לא אחשוב את זה""."
z007-cf-1,"אני נמצאת בסופר. חם לי מאד. אני מרגישה שאני רוצה להתקלח. אבל אני לא מתקלחת. אני נהיית עצבנית. אני מזהמת את הבית שלי בקורונה, ובעקבות כך מישהו נדבק ממני ומת. אני יודעת שהוא מת בגללי ומרגישה אשמה נוראית. אני לא מליחה לחיות עם עצמי ככה."
z007-cf-2,"אני נמצאת במיטה ומתחילה לחשוב מחשבות על מישהו קרוב אלי שימות, אני בוכה. אני רוצה לנטרל את המחשבה הזאת ולהגיד לעצמי ""לא חשבתי את זה, אני לא חושבת את זה, אני לא אחשוב את זה"". אני מצליחה לא לחשוב את המחשבה, ובסוף האדם הזה מת, והכל באשמתי."
z015-sf-1,"נכנסת לבית של אבא ורואה את הכביסה על הספה, כובע על שולחן, דברים לא מסודרים.
מרגישה עצבנית וקופצנית, מרגיש לה חוסר איכפתיות, מכעיס ומכניס למצב לא רגוע.
להעיר למי שבבית ולסדר. לשים הכל במקום שהוא צריך להיות בו, לזרוק מה שמיותר ולנקות הכל. 
התחושה הראשונה שעולה היא עצבים."
z015-cf-1,"אם הבית לא מסודר אי אפשר להיות פרודקטיבית.
לאם לא פרודקטיבים לא מספקים את מה שמצופה מאיתנו, בעיקר מאחרים.
אם לא אענה על הציפיות אני אאכזב אחרים והעולם יתקע. 
אם אני אאכזב אחרים לא יצטרכו אותי יותר ואני אאכזב את עצמי.
אם אאכזב אנשים אחרים אני אאבד את הערך שלי בעינהם. 
אם אנשים יחשבו את זה כנראה יש בזה מידה של אמת- שאולי אני לא באמת מסוגלת אני רק משדרת שאני כאילו כזאת. 
אולי האישיות שלה היא בעצם ריק חסר תוכן. 
אם אתה ריק אולי את לא קיים וכולך אשלייה. שום דבר לא אמיתי באמת."
z018-sf-1,"התעוררתי בבוקר, הלכתי למטבח, אני רוצה להרתיח מים לעשות תה, אבל אני עוצרת את עצמי, מרגישה לחץ בחזה, לא ברור לה למה."
z018-cf-1,"
אני לא שתיתי את התה בבוקר לפי השגרה, אני תמיד עושה את זה, אני חייבת לעשות את התה>ל מרגישה לחוצה, זה ישבש לי את המשך היום שתוכנן, אצטרך לדלג על ארוחה אחת, ולהעביר לאחרת, וזה ישבש את התכנון היומי>אם התכנון ישתבש, אני אאבדאבד שליטה (ואני אוהבת שליטה)> אם דברים יצאו משליטה, אני לא מצליחה משהו, וארגיש כישלון>"
z030-sf-1,"חזרה מהאוניברסיטה אחרי יום רע, מרגישה צורך לנקות את הקיר שמה את הכפפות אבל עוצרת את עצמה ולא מנקה> מרגישה לא טוב שהיא לא מנקה מרגישה לא נעים תחושה של ""גירוד"" חוששת שתעלה תחושה לא טובה והיא לא תוציא את הרגשות השליליים)."
z030-cf-1,"חזרתי הביתה מהלימודים ביום קשה, אני מרגישה צורך לנקות את הקיר, אני עוצרת את עצמי- התחושה לא נעימה כמו גירוד, מפחדת שהרגשות השליליים לא יצאו החוצה ואחזור למקצועות לא טובים, ואז אני אראה את עצמי בואר שלילי ולא אצליח להתרכז במטלות כמו בלימודים. אם זה יקרה ההורים שלי יתאכזבו ממני  ומשהו רע עלול לקרות להם, אם הם יפיגעו אז לא תהיה לי משמעות לחיים, וזה נורא כי אם בעצמי אנשים הקרובים אליי יפגעו.


"
z040-sf-1,את נכנסת לאוטו אחרי שנגעת בהרבה כלבים ואת לא מסוגלת להכנס לאוטו כי את מרגישה מזוהמת. אין לך יכולת לשטוף ידיים והתחושה היא שההגה יהיה מלוכלך ואז בעתיד את תזדהמי כשאת תבואי נקייה לאוטו.
z040-sf-2,מרגישה שבא לה שהבאלגן יחזור לקדמותו וכעוסת על המנקה. אם המדף יהיה לא מסודר זה יהיה לה קשה כי היא תרגיש חוסר נוחות.
z040-cf-1,"אם אני אגיש שהידיים שלי מזוהמות אני אחשוש שאני אגע בפנים וכתוצאה מכך אהיה מזוהמת ויכולה להגרם לי העיה רפואית או שאני ארגיש לא בסדר עם עצמי, כתוצאה מכך לא אמצליח להתרכז ולהיות יעילה וכתוצאה מכך לא אעמוד בציפיות שלי מעצמה. 

ענף שני: אם תיהיה לי בעיה בריאותית אולי אהיה לא פורייה, לא אוכל להביא ילדים ואהיה אישה מבוזבזת, זה יגרום לי לדיכאון."
z040-cf-2,"אם המדף יהיה לא מסודר זה יקשה עלייך להתרכז בלימודים, את תיהי עייפה וזה יתרום לכך שתדרדרי בלימודים, את תאכזבי את עצמך ואז תרגישי חוסר סבלנות לעשות דברים ואת תרגישי חוסר יעילות ושאת בזבוז."
z031-sf-1,"אני נמצאת בחדר שלי, מישהו היה אצלי בחדר ושם בושם חדש לא במקום שרציתי, אני מרגישה רצון חזק להזיז את הבושם אבל עוצרת את עצמי> אני מרגישה לחץ וחוסר נוחות ורוצה לשים אותו במקום אחר."
z031-sf-2,"אני בבית של אחי, חושבת שאולי שכחתי את המגהץ דלוק, אני רוצה להתקשר למישהו שיבדקו עם המגהץ סגור, אני עוצרת את עצמי מלהתקשר> אני מרגישה פחד ורוצה לחזור הביתה- מפחדת שתהיה שריפה."
z031-cf-1,"אני נמצאת בחדר שלי, מישהו היה אצלי בחדר ושם בושם חדש לא במקום שרציתי, אני מרגישה רצון חזק להזיז את הבושם אבל עוצרת את עצמי> אני מרגישה לחץ וחוסר נוחות ורוצה לשים אותו במקום אחר, יש לי תחושה לא נעימהולא אוכל להתרכז כך  -שלא אצליח לעשות את הדברים שאני צריכה> אם לא אצליח לעשות זאת כל יום התוצאה לא תהיה טובה ואכשל בלימודם , ואם לא אצליח בלימודים ארגיש שזה ""סוף הדרך"" ואכנס למצב רוח לא טוב כי הלימודים הם חלום חיי,  אם לא אצליח בזה אני ארגיש כישלון> אם אני אכשלון זה אומר שכל ההשקעה שלי לאורך השנים הייתה לשווא. 
"
z031-cf-2,"אני בבית של אחי, חושבת שאולי שכחתי את המגהץ דלוק, אני רוצה להתקשר למישהו שיבדקו עם המגהץ סגור, אני עוצרת את עצמי מלהתקשר> אני מרגישה פחד ורוצה לחזור הביתה- מפחדת שתהיה שריפה, אם הבית ישרף זה יהיה בגללי, וכתוצאה מכך אנשים אחרים יאלצו לשאת בתוצאות , כך שתמיד אחוש אשמה עצמית, בגלל התחושות זה עלול לשבש יחסיי עם אחרים כך שאהיה לבד ולא אוכל לשתף עם אחרים מחשבות , המחשבות הרעות ישארו אצלי ויחמירו ולא אוכל להתרכז בכלום ולעשות דברים מועילים בחיי כך שאני מרגיש שאין טעם לקום בבוקר, אז לחיים אין טעם, ואני אשאר במקום בזמן שאחרים מתקדמים וארגיש כישלון. 

"
z041-sf-1,"את נמצאת בצימר וחבר שלה מסדר את המעילים בצורה לא מסודרת ולא סימטרית. מרגישה מכווצת, כאב ראש קל ולחץ את מרגישה שאת צריכה לסובב את הקולב ולהחזיר לארון, את תרגישי לחץ אם לא תסדרי את המעיל."
z041-sf-2,"את נכנסת לחדר שלך ובמקום ללכת לאמבטיה את הולכת ישר למיטה, מרגישה שהיא חייבת ללכת לאמבטיה, התחושה הראושנה שהרגשה הראשונה היא לחץ."
z041-cf-1,"אם הארון לא יהיה מסודר את תרגישי לחץ שיוביל לתחושות פיזיות לא נעימות, את לא תוכלי לתפקד ובעצם לא תיהי בשליטה על מה שקורה."
z041-cf-2,"את נכנסת למיטה בלי לבצע את הטקס לפני הכניסה למיטה, את לא תרדמי וכתוצאה מכך את תהי עייפה יום למחרת ואולי תעשי תאונה ותפגעי במישהו, תחושת האשמה לא תאפשר לך לתפקד בחברה, את תרגישי לא שווה וכתוצאה מכך שאין לך מה להיות פה."
z047-sf-1,"הארון מבולגן ואת מרגישה אי נוחות, את מרגישה שאת צריכה לסדר אותו- להוציא את כל הארון ולסדר מחדש, אם לא תעשי את זה את לא תפסיקי לחשוב על זה ותרגישי חוסר נוחות."
z047-sf-2,"את נמצאת ביציאה מהבית ונעלת את הדלת, את רוצה לבדוק שהיא נעולה, אם לא תבדקי אם היא נעולה לפני שאת יוצאת את תרגישי לחץ וחוסר נוחות."
