rid,fear
69,"אם לא הייתי שומר על ניקיון אני מרגישה לחץ, אותו אני פותרת באמצעות ניקיון"
4,"אני מפחדת לנסוע ברכב מחיפה לתל אביב בכביש ראשי, כיוון שאני חוששת שאני אפגע במישהו ואהרוג אותו, ואח""כ אסתובב עם תחושת אשמה - שזה קרה בגללי כל החיים."
78,"אם תשתפי את החברה שלך במה שאת חושבת כשהיא מטיחה בך האשמות, את תצטרכי לספוג ביקורת על האופן בו את מתייחסת לחברים, את תגיעים למסקנה שאת לא בסדר ויתכן שיש לך תכונות אישיות רעות. התכונות האלה יגרמו לקשיים בקיום אינטראקציות ולא יהיו לך אינטראקציות נעימות בחייך (60)."
73,יכול להיות שהייתי מרגישה אי נוחות (יש לי חברה שרבתי איתה והעדפתי לא לדבר)
14,"אני משתתפת בסרטון שסטודנטים בכיתה הכינו וצריכה להציג משהו, אני מרגישה לחץ ואי נוחות, מרגישה שאני לא מצליחה לחשוב ושאני תקועה, ואם זה המצב אני לא אצליח להציג כמו שאני רוצה, ולא אביא את עצמי לידי ביטוי.  זה מפחיד אותי שזה בגלל משהו שאני לא מצליחה לשפר בעצמי - התמודדות עם המעמד בו אנשים עשויים לבקר אותי. זה מטריד אותי שיבקרו אותי כי זה סוג של מראה של מה אני ובמה אני פחות טובה, וזה עלול לגרום לכך שזה ימנע ממני להתקבל לדברים שאני רוצה כמו למשל עבודה אצל אחד המרצים שראה איך אני מציגה. ואם הוא לא יקבל אותי אני אחשוב  שזה בגלל קושי וההצגה שהעברתי שזה משהו שאני לא מצליחה להשתפר בו כבר כמה שנים.  אם לא התקבלתי בגלל זה אז לא אצליח להתקבל לשום מקום אחר, ואם זה יקרה אני לא אצליח למצוא את עצמי להתקבל או להתקדם בעבדה ובכל דבר אחר בחיי וארגיש תקועה."
16,"את נכנסת לחדר צפוף ומרגישה שהדופק עולה, את חשה סטרס וחרדה וכתוצאה מכך חוסר שליטה וחוסר אונים. את תרגישי שאת עומדת למות. מה שהכי מטריד אותך בתחושה הזו, זו תחושת הסבל מהמחנק."
110,"היה לך חודש עמוס מבחינה כלכלית ואת מתיישבת לנסות לנהל את זה, את טועה ומצבך הכלכלי מתחיל להדרדר, את נמצאת במצב לא טוב ואת מרגישה תחושת חוסר ביטחון."
127,"אני נמצאת בבית שלי בצפון, ואני מרגישה שיש לי גוש בראש בראש אני חוששת שזה גידול, אני רוצה ללכת לרופא ולבדוק מה זה הגוש הזה. אבל מחליטה לא לעשות זאת. אני מרגישה לחץ  וחוסר וודאות חוששת שאולי זה משהו מסוכן שיתפח ויחמיר כמו סרטן, אם זה יהיה סרטן שיחמיר יהיה קשה לטפל בזה ואני אגיע למצב שאני חסרת אונים, כך שאני אהיה תלויה באחרים. אז אגיע למצב שאני לא אהיה אדם מועיל יותר, ואחיה כמו טפיל על אנשים אחרים, כך שארגיש שאני לא מסוגלת לתת יותר רק לקחת שזו מבחינת המשמעות בחיים אז זה ישבור אותי ואני ארגיש אשמה על כך שההורים שלי ואחי לא יכולים לעשות את הדברים שהם אוהבים ונפגעים בגללי. כך שלא רק שאני לא עושה טוב בעולם אני גם פוגעת באחרים ועושה רע
"
130,"מרגישה לחץ בראש ומועקה בראש, אבל מנסה להיות רציונאלית ולגשת לשיחה."
2,"אני מפחדת לעשות בדיקות דם, כיוון שיכול להיות שתהיה תוצאה חיובית, שיש לי איזו בעיה, שתגרום לי בסופו של דבר למות. והבלתי ידוע שאחרי המוות מפחיד אותי. אני אלך לגן עדן? לגהינום? מה קורה שם? רואים מלאכים? רואים את האנשים שמתו?
והתחושה הזאת של חוסר הוודאות וחוסר השליטה בלתי נסבלת בעיני. אני לא יכולה לסבול את המחשבה שלא תהיה לי שליטה בחיים שלי.
"
15,אם היית נכנסת לחדר הומה היית מרגישה שאת רוצה לצאת או להתקרב לחלון. הייתה מרגישה חנק.
29,"אני מדברת עם חברה שלי על שיחה מאוד עמוקה, היא נפתחה בפניי והרגשתי שאני גם צריכה להיפתח אני נמנעת מלדבר על רגשות אבל מחליטה לעשות זאת, כתוצאה מזה אני בוכה"
125,"יש לי חברה שלומדת איתי סיעוד, היא הייתה אמורה לנוסע לאילת ולקנות לי ולה מכשיר נייד, היא אמרה למישהי אחרת שהיא קודם תקנה לעצמה ורק אם תוכל תקנה גם לה. מרגישה שהיא שמה את עצמה יותר במרכז ולא מחכה לה, זה פוגע בי ורציתי לדבר איתה על זה כי זה מפריע לי, אז אני חוששת מלדבר איתה על זה. אז אני נמצאת באוניברסיטה ליד חברה שלי, אני רוצה לקחת אותה לצד ולהגיד לה על הדברים שמפריעים לי, אני חוששת מזה אבל מחליטה לעשות  את זה, אני מרגישה חרדה מהתגובה שלה, אני מפחדת שהיא לא תייחס לזה אותה חשיבות כמו שאני מייחסת לזה כך שהיא לא תבין אותי, אז תהיה תקיעות בחברות שלנו. אני מייחסת לתקשורת חשיבות גבוהה ביחסים, וזה מאיים על החברות שלנו, אז אני  אבין עם עצמי שהחברות הזאת לא שווה ובסוף היא תתנתק. זה מפחיד אותי כי אנחנו חברות ילדות ואני לא הייתי רוצה לאבד אותה, ואם אאבד אותי איבדתי קשר עם אדם קרוב שמבין אותי בהרבה אספקטים בחיי, אז אני ארגיש געגוע מאוד גדול וחור גדול שאני לא אצליח למלא ולהחליף אותו בקשרים עם אנשים אחרים."
35,"חבר מזמין אותי אליו לביתו למפגש חברתי בו מוזמנים יותר מעשרה חברים, אם לא הייתי נמנע מהמפגש  הייתי מרגיש לחץ ופחד שישפטו אותי"
20,"אם תרגישי לחוצה מידי בלימודים את עלולה לחוות התקף חרדה, את תרגישי חוסר אונים פיזי ונפשי. את יודעת שאת מעכבת את עצמך מלהמשיך ללמוד ואת עלולה לא להצליח בלימודים ואז את תיהי כישלון מוחלט."
46,"אם תעברי לגור עם שותף את תצטרכי גם להתמודד עם כל החברים שלו, מצב כזה יאלץ אותך להתמודד עם אינטראקציה חברתית בעל כורחך, את תציגי את עצמך באופן מביך, אנשים יחשבו שאת בדיחה ויתייחסו אליך כאדם חסר רגשות, את תרגישי דחויה בגלל מי שאת בחברת אנשים."
56,"אם תיהי בכיתה שאת לא מכירה בה אף אחד את תרגישי אי נוחות, לא ידברו איתך כי יחשבו שאת ביישנית, את לא תכירי אנשים חדשים ותרגישי בודדה."
43,"אני בפרויקט בעבודה באוניברסיטה, ואחת מחברות הצוות לא השקיעה  ולא עזרה בעבודה, וזה פגע גם בי. אני רוצה להעיר על זה אבל מעדיפה להימנע כדי לא להיכנס לסיטואציה שלילית. אם הייתי אומרת לה מה אני חושבת היא הייתה כועסת עליי, ומסה להגן על עצמה בכך שתעוות ותבטל את המחשבות שלי"
68,"אני בעבודה, ויש הצעה להתקדם למשרה חדשה שאני רוצה בה. אני קצת חושש מזה כי זה להתחיל מאפס וכולם יבחנו אותי ואת התפקוד שלי אבל, אני מחליטה ללכת על זה. זה מעורר בי מצוקה אני אוכלת את עצמי, נכנסת ללופ של שאלות וביקורת עצמי ובעקבות כך אני לא נרדמת בלילה והגוף שלי מגיב בפריחה.  זה יגרום לך  שהיעילות שלי תפגע, ומצב הרוח שלי ידרדר, אהיה מדוכאת זה יפגע  בהתקדמות המקצועית שלי. אני ארגיש שנתקעתי במקום ואני לא במסלול שרציתי, למדתי קשה כדי להתקדם ולהניב פירות וזה לא יקרה כך שהביקורת העצמית תגדל והלופ של המחשבות יגדל. כתוצאה מכך אזיח גם חלקים אחרים בחיים שלי כמו משפחה וזוגיות כך שהזוגיות שלי עלולה להסתיים, אז אהיה גם צעד אחורה במסלול האישי בחיים, והרצון להקים משפחה ולהביא ילדים רחוק יותר -  כך שאתקע במקום בכל התחומים החשובים לי בחיים"
134,"כשהיא לוקחת על עצמה משימה גדולה היא חשה הצפה, פחד שהיא לא תצליח, בלבול."
53,אם לא הייתי נמנעת מלהעמיס על עצמי כנראה שהייתי מפסיקה את הלימודים באמצע .
11,אם אסע למקום שאני לא מכירה אני אלך לאיבוד ואעכב את התנועה.
1,אני מפחדת לגלות משהו בריאותי לגבי עצמי
139,"חבר שלך שולח לך כתבה על יעל ליטל מלניק שנקברה בחיים, את פותחת את הכתבה ומרגישה לא בנוח, תחושות ומחשבות לגבי הרעיון של חוסר הקיום מציפות אותך, את מרגישה את התחושה של- לא להיות, ריק וחידלון."
132,"במידה ולא תתארגן כמה שצריכה עלולה לא להגיע לשיעור, ואם תגיע יהיה לה קשה מאוד. תסתגר ותהיה מכונסת, תיכנס ללום של מחשבות עם עצמה, תצטרך לרוץ למצוא מראה כדי להשיג שקט. אולי גם תיכנס לשירותים ותבכה."
112,"
אני רוקדת סלסלה, וחבר שלי רוקד במועדון חדש שנפתח.  בן זוגי הציע לי להצטרף אתו, אני כן רוצה ללכת אבל המחשבה על כך שיש שם הרבה אנשים חדשים מעוררת בי מצוקה אז אני רוצה  להימנע מזה, בסוף החלטתי שאני אלך איתו למועדון. אני מוטרדת, אני מרגישה שאני צריכה להיות הכי טובה כדי שאנשים לא ישפטו אותו, אם אנשים אחרים ישפטו אותי זה סימן שאני פחות טובה מאחרים, זה מטריד אותי כי אני תמיד מנסה להיות הכי טובה וכנראה שאני לא מצליחה הפעם, אז אני מרגישה שהביטחון העצמי שלי ירד. 


"
44,"אני נמצאת בספריה, ואני רואה את הסטודנטית שעושה איתי עבודה בפרויקט לקורס באוניברסיטה עושה משהו אחר במקום לעבוד על הפרויקט שלנו,  אני רוצה להעיר לה ולהגיד לה שהיא לא משקיעה מספיק, אבל אני חוששת לעשות את זה. אבל אני עושה את זה בכל זאת.  אני מרגישה לחץ, אני מפחדת מהתגובה של הסטודנטית, היא תכחיש ותתנגד לכל המחשבות שלי , ואז זה מראה שיש אנשים שלא מקבלים את המחשבות שלי ושהמחשבה שלי לא מתקבלת על הדעת ולא נכונה, אם המחשבות שלי לא נכונות זה אומר שאני מנתחת דברים לא טוב והניתוח החברתי שלי לקוי.  זה אומר שאני לא מבינה את התמונה הגדולה, ומנותקת מהמציאות, כך שאני לא מתאימה את ההתנהגות שלי לסיטואציות חברתיות. אם אני לא מצליחה לתאם את התנהגות החברתית שלי, אז אנשים לא ירצו להיות בקשר איתי ואני אהיה לבד, לא יהיה לי אף אחד  ואני ארגיש כישלון מאוד גדול ברמה שלא אצליח לדמיין שאוכל לצאת מזה או לתקף לעצמי שיש לי ערך כלשהו."
133,לגרום למישהו לרגש שלילי.
3,אוי ואבוי. זה מלחיץ. הוייז יכול להשתבש. פתאום אני אכנס בנתיב לא נכון. זה שצופרים לי כבר הפסקתי להתרגש מזה.
97,אני חוששת שאולי יש פה משהו יותר חמור.
119,"אני נמצא בקניון עם הילדים שלי ובעלי, בדרך בקניון אנחנו עוברים ליד הגיבמבורי והילדים שלי מאוד רוצים להיכנס לשחק שם, אני מאוד חוששת, במיוחד מבריכת הכדורים, אבל  אני מחליטה כן לתת להם להיכנס ולשחק שם. אני מרגישה חרדה, אם הם ישחקו בבריכת הכדורים הם אולי יזדהמו ויחלו, אם הילדים שלי יהיו חולים ארגיש חוסר אונים, אני הרבה פעמים מטפלת בילדים שלי ונותנת להם את התרופות בעצמי ואני מפחדת שאולי לא אתן את הטיפול המתאים, כך שאתן להם תרופה לא מתאימה ומהצב הרפואי שלהם ידרדר וזה יהיה באשמתי כי הייתי צריכה להביא להם תרופה יותר חזקה - אז אני ארגיש החמצה כי לפני זה  יכולתי לשלוט במצב הרפואי שלהם ועכשיו לא- אין לי שליטה על בריאות הילדים שלי. 
"
37,אם לא היית מנקה את הבית היית מרגישה חרדה וחשש שאת תלכלכי דברים נוספים.
83,"אני עובדת בקולנוע ויצתי סדרת רשת, הציעו לי להתראיין בפלטפורמה דיגטלית- דבר שהיה יכול לקדם אותי ואת הפרויקט ונמנעתי מזה, אם זה לא היה קרוה הייתי חוששת שהצופים היו בוחנים אותי."
124,"אם הייתי מותחת ביקורת על חבר קרוב, לא אדע לאיזה תגובה לצפות ואחשוב על דימויים קטסררופליים."
75,"אם הייתי יוצאת מהבית למקומות שאנשים מכירים אותי היה לי קשה להתמודד מהסביבה מהשונות, אני מרגישה שונה מאחרים."
98,יש לי פצע בפה ויכול להיות שהוא גידול סרטני. יש כאן סכנת חיים ולכן תחושת חוסר השליטה על חיי היא בלתי נסבלת.
93,אם היא הייתה עולה במעלית היא הייתה חשה מצוקה ופחד שהיא תתקע.
96,"אני בכיתת אנגלית ואני אמורה להציג את הפרויקט שלי בקורס מול כל הכיתה. אני מאוד חוששת מכך , ורוצה לדבר עם המרצה ולבקש ממנה להציג רק לה. אני מחליטה בסוף להציג מול כולם. אני מרגישה לחץ אני לא אוהבת את המצבים האלה. כולם מסתכלים עליי ומריצים מחשבות בראשם עלי. הם ישפטו אותי עוד לפני שיכרו אותי. אם זה יקרה הם אולי ישפטו אותי באופן שגוי, ואז הם שיפטו אותי באופן שלילי, על משהו שהיה נכון בעבר ועבדתי מאוד קשה כדי להשתנות בו. אם אחרים חושבים את זה סימן שאולי זה באמת נכון, וזה מראה שאולי התפיסה שלי את עצמי שגויה."
153,"אני נמצאת במשרד שלי, אני רוצה לתכנן כנס לסטודנטים שיתקבלו לתכנית שאני אחראית עליה, אני חוששת מלגשת לזה ומרגישה מוצפת לאבטוחה איפה להתחיל ומה לעשות. אני חוששת שהעבודה שלי לא תהיה טובה מספיק בגלל שתכננתי את הכנס באופן לקוי - כך שהסטודנטים יתפסו את התכנית כלא מקצועית ולא יזכרו את הנהלים שחשוב שהם ידעו.  חשוב לי להיות עובדת טובה ונאמנה למקום העבודה שלי ואם לא אצליח בזה  אולי זה סימן שאני לא בעבודה המתאימה לי
 אני ארגיש לא נעים ובהמשך ארגיש שאני לא מספיק טובה באופן"
109,"חוששת להתעסק בכסף ולחשוב על איך היא צריכה להסתדר מבחינה כלכלית, מעלה בה תחושות לא נעימות."
61,"אם הייתי משחררת את הילדים לצאת לטיול, הייתי מאד נלחצת, לא ישנה בלילה, מסתכלת כל הזמן בשעון - אני יכולה לדאוג לילה אחד, אבל שני לילות זה כבר יותר מדי."
85,"הייתי באילת, הציעו לי לנהוג חלק מהדר, הנהג היהי עייף ונמנעי מזה. אם לא הייתי נמענת הייתי חוששת שהייתי דופקת רכב שהוא לא שלי."
36,"אני נמצא עם חבר, הוא מספר לי על מפגש חברתי, אני רוצה להתחמק מזה ולא להגיע. אני מרגיש לחץ וחרטה, אני חושש מה יקרה איך להתארגן ומתי להגיע. מטרידה אותי המחשבה של מה אחרים יחשבו עליי או מה יקרה אם הם ישפטו אותי,  אם אנשים ישפטו אותי ויחשבו עלי משהו שלילי ולא טוב הם יספרו את זה לאנשים נוספים, ואלה ויעבירו הלאה את הדעה השלילית עליי,  זה יוביל לכך שאנשים יחשבו עלי דברים רעים ולא יאהבו אותי. אני רוצה שיאהבו אותי, ואם אנשים לא אוהבים אותי זה סימן שכמכלול אני אדם פחות טוב  ולכן אנשים לא רוצים בחברתי. אז אנשים יתרחקו ממני ואני אהיה לבד בעולם, לא יהיה לי עם מי לדבר ולשתף, אני אבין שאני חריג ואם אני חריג זה סימן שמשהו בי לא בסדר. זה מעיד על כך שאני לא נורמטיבי וזה יגרום לי לתחושות נחיתות ומועקה לאורך חיי."
40,"אם תלכי ללמוד עם חברות של חברה בדרום, את תרגישי חרדה שתתגבר בעקבות מחשבות, את תיהי במצב פגיע לידן והן ימתחו ביקורת על איך שאת מגיבה. הדבר יגרום לאנשים, כולל החברים שלך להתרחק ממך ואת תיהי בודדה."
62,"אם אני משחררת את הילדים לצאת לטיול, אני לא בשליטה מלאה על הסיטואציה, והתחושה שאני לא בקונטרול היא בלתי נסבלת עבורי."
38,"את קמה בבבוקר ואת מגלה שהשירותים מלוכלך, את רוצה לנקות אותם אבל את לא עושה את זה. זה גורם לשאר הדברים להתלכלך ואת חווה חרדה בלתי נשלטת, החרדה מובילה אותך למצב של אפיזודה דיכאונית."
19,אם לא היית פורסת את העומס של הלימודים היית נתקפת התקף חרדה.
129,"את ובעלך הולכים לחברים למסיבה, הבית מתמלא אנשים ואת מרגישה בדידות ושאת לא שייכת. את רוצה ללכת משם ואת חשה אשמה כי את הורסת לבעלך ערב כיף."
123,"אני נמצאת בקופת חולים, אני רואה שיש חשמלאי שמתעסק בלוח חשמל , וזה בניין שהמעלית בו נתקעת מדי פעם, כואבת לי הרגל ולכן אני רוצה לעלות במעלית אבל אני מפחדת ושוקלת ללכת על המדרגות. בסוף אני מחליטה להיכנס למעלית . אני מרגישה שעשיתי טעות ושאני צריכה לצאת מהמעלית  המעלית תתקע ואני מרגישה חרדה. אני תקועה במעלית - ואני חווה התקף פאניקה שאני לא מצליחה להשתלט עליו, אני חסרת שליטה על הסיטואציה, כך שאני תלויה באנשים אחרים, וכל מה שמתרחש לא בידיים שלי, ואני לא יודעת אם אחרים ישימו לב או אם הם יטפלו בזה כמו שצריך, אז אני מרגישה חוסר וודאות."
157,"אני נמצאת בישיבת צוות בעבודה במכון טיפול בו אני עובדת , בחדר יושב המנהלת ומטפלות נוספות. אחת המטפלות מדברות על מטופל שלי. אני רוצה להציע טיפול ולהגיד משהו חשוב אבל אני חוששת. למרות זאת מחליטה לדבר, בזמן שאני מדברת אני מרגישה את הלב שלי דופק, המחשבות שלי מטרידות אותי האם אני אומרת דברים נכונים והגיוניים. אם אגיד משהו לא נכון יחשבו עלי דברים לא טובים: שאני לא מספיק מקצועית או מתאימה לתפקיד הזה. זה משמעותי מבחינתי משום שאני מאוד משקיעה ועושה הכי טוב שאני יכולה - וכעת אני מרגישה שאני במקום שלא מעריכים אותי בו. זה קשה לי כי אני מאוד מושפעת מה שאחרים חושבים אז זה יגרום לי להרגיש באמת שאני לא מספיק טובה. אני ארגיש מועקה ותסכול שיפיע עלי בעבודה המקצועית ויעצים את חוסר הבטחון שלי, ויטריד אותי לאורך כל היום עד שלבסוף יפטרו אותי."
80,"אני מחפשת דירה לעבור אליה, ורואה אופציה לדירה עם שותפה שאני לא מכירה. אני מעדיפה להתגורר לבד, אבל מחליטה לבסוף ללכת על זה עם חששות. אני לא בטוחה איך להתנהל, ומרגישה אי נוחות. אני מאוד מוטרדת מלהתגורר עם השותפה משום שחשוב לי האיזון בין מרחב פרטי לשיתופי. אני חוששת שהשותפה תהיה במרחב הציבורי יותר מדי, תשב שעות בסלון ובפינת האוכל, כך שארגיש לא בנוח בבית שלי ואדחק לפינה. לא יהיה לי נעים להיות מחוץ לחדר, ארגיש לא בנוח לשבת בפינת האוכל או בסלון, ואסתגר בחדר שלי.  אני ארגיש שאין לי מקום בבית שלי, ואחוש רגשות שלילים כלפי השותפה. הרגשות יצטברו ובמקום להיטען בבית שלי ולהתמודד עם האתגרים הרגילים בחיי, האנרגיה שלי תגמר, ואחוש שליליות. אז יהיה לי קשה יותר להשקיע בדברים שאני אוהבת כמו עבודה ואימונים ודברים יהיו גרועים יותר, כך שאני אהיה עם לבד עם עצמי בלית ברירה ולא אתרומם לשום מקום. אז אהיה במקום לא טוב, של מחשבות שליליות, והדיכאון שעמו אני מתמודדת יחריף."
21,"אם לא הייתי נמנעת לצאת לדייט, הייתי בחרדה חזקה לפני וגם במהלך הדייט."
23,אם היית יוצאת מהבית היית מקבלת תגובות מהסביבה על מקל ההליכה שאת נעזרת בו.
72,"את מרגישה שאת צריכה להקיא ואת לא עושה את זה, את מרגישה סטרס רב וכאב פיזי שאין לו פיתרון. הכאב יוצר מצב שאת תלויה באחרים ושהם מרחמים עליך"
51,"אם לא הייתי נמנעת מלגעת בחפצים מהבית של ההורים שלי, זה היה מעלה בי זיכרונות, געגועים וקושי להיפרד מהבית בו גדלתי."
67,"אם לא אמנע אני אלך לראיון, אני ""אוכל לעצמי בראש"" בשאלות."
59,אם תצאי לדייט את תרגישי לחץ וכאבי בטן
70,"אני נמצאת במטבח, ואני רואה כלים מלוכלכים בכיור אני רוצה לנקות אותם. אבל מחליטה לא לנקות אותם עדיין, אני מרגישה חרדה מהמחשבה  שאני משאירה  את הכיור המלוכלך, אם זה כי הלכלוך יצטבר ויהיה אף יותר לכלוך.  הלכלוך ""ידביק"" כלים נוספים, וגם הבקבוק שלי שאני מאוד אוהבת ידבק בלכלוך אם זה יקרה, אני  אני לא אהיה מסוגלת לשתות ממנו יותר ואזרוק את הבקבוק לפח. ואז זה יהיה סימן  שבעיית ניקיון שלי משתלטת על החיים שלי. זה מתסכל אותי כי למרות שני מאוד משתדלת אז אני עדיין לא מצליחה לתת לזה לא להשתלט עלי. אז אם אני לא מסוגלת אפילו להצליח לשלוט על זה זה סימן שאני אדם בלי מסוגלות. אז כל דבר שארצה לעשות יהיה לי קשה אני לא אשיג כוחות לעשות דברים עם החיים שלי ולקום מהמיטה, אם זה יקרה אני לא אוכל לנהל חיים, לא אוכל לשלם על הדירה שלי, אני אאבד את הדירה ואחזור לגור להורים וארצה למות כי אהיה בדיכאון."
95,"אם הייתי מצגיה פרזנטציה מול כל הכיתה זה המלחיץ אותי יותר ממה שזה היה צריך, ורק הייתי מחכה שזה יגמר"
26,"אם תתראייני לראיון עבודה את עלולה לקבל תשובה שלילית, במצב כזה את נתקעת בחיים שלך, את עלולה לא להצליח מבחינה כלכלית וכתוצאה מכך גם לא להתקדם בחיים האישיים שלך. את לא תקימי משפחה, את תיהיה בודדה ולא תיהיה לך משמעות לחיים."
